"IdComment","IdStr","UserName","Message","Retweets","Hashtags","Mentions","TweetBoundingBox","TweetCoordinates","TweetPlaceName","UserLocation","UserFollowers","UserFriends","CreatedAt","Source","Votes","Positive","Negative","Neutral","Reason","VeryPositive","VeryNegative","evaluator1","evaluator2","evaluator3"
"707166964595216000","707166964595216000","slowhandss","minha manhã só começa oficialmente depois de correr atrás do ufpa-alcindo/j. malcher (e conseguir pegar ele claro)","0","[]","[]",NULL,NULL,NULL,"Belém","736","423","2016-03-08 11:31:57","twitter_ufpa","3","0","1","2",NULL,"0","0","1022105604535423","10207501925518729","251044251911114"
"707213976522850000","707213976522850000","EdilsonZanardo","CONCURSO PÚBLICO PREFEITURA DE CURITIBA - PR https://t.co/yhccyBJUWt","0","[]","[]",NULL,NULL,NULL,"Curitiba","121","434","2016-03-08 14:38:46","twitter_curitiba","3","0","0","3",NULL,"0","0","805075212894032","251044251911114","942667965849460"
"707218810365825000","707218810365825000","EdilsonZanardo","CONCURSO PÚBLICO PREFEITURA DE CURITIBA - PR https://t.co/FGT1j9vkFa","0","[]","[]",NULL,NULL,NULL,"Curitiba","121","434","2016-03-08 14:57:58","twitter_curitiba","5","2","0","3",NULL,"0","0","1022105604535423","10207501925518729","916609715103449"
"707220745928241000","707220745928241000","edwardpampolha","@xpauloz vou, mas ainda estou na academia. Devo chegar na UFPA depois das 13h","0","[]","[{u'id': 191647278, u'indices': [0, 8], u'id_str': u'191647278', u'screen_name': u'xpauloz', u'name': u'cenas lamentxe1veis'}]","[[[-48.623684, -1.526453], [-48.295911, -1.526453], [-48.295911, -1.019406], [-48.623684, -1.019406]]]","-1.2729295,-48.4597975","Belém, Brazil","Belém, Brasil","708","216","2016-03-08 15:05:40","twitter_ufpa","3","0","0","3",NULL,"0","0","10207501925518729","1054803564576568","951289924984798"
"707252164515795000","707252164515795000","jocadaleffe","@furacaoeeooo @KikeCardoso @Curitiba_PMC ficará pronta até a próxima Copa no Brasil!","0","[]","[{u'id': 2332372196, u'indices': [0, 13], u'id_str': u'2332372196', u'screen_name': u'furacaoeeooo', u'name': u'Furacxe3o'}, {u'id': 82240188, u'indices': [14, 26], u'id_str': u'82240188', u'screen_name': u'KikeCardoso', u'name': u'Henrique Cardoso'}, {u'id': 68693419, u'indices': [27, 40], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]","-25.4952494,-49.28846045","Curitiba, Brazil","Curitiba - Paraná","1259","586","2016-03-08 17:10:30","twitter_curitiba","4","1","1","2",NULL,"0","0","10207501925518729","951289924984798","1333261746689944"
"707252167841870000","707252167841870000","_hypenews","Concurso Prefeitura de Curitiba-PR 2016 - https://t.co/b9ujtqZlfl Via @_hypenews #Concursos","0","[{u'indices': [81, 91], u'text': u'Concursos'}]","[{u'id': 4611073349, u'indices': [70, 80], u'id_str': u'4611073349', u'screen_name': u'_hypenews', u'name': u'hypenews'}]",NULL,NULL,NULL,"Brasil","883","854","2016-03-08 17:10:31","twitter_curitiba","3","1","0","2",NULL,"0","0","10207501925518729","986190778102485","1054803564576568"
"707272689203946000","707272689203946000","annadenira","@Curitiba_PMC mais que perfeito. ???? https://t.co/URwKsHtuot","0","[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]",NULL,NULL,NULL,"Curitiba - Paraná","1093","1201","2016-03-08 18:32:04","twitter_curitiba","3","0","0","3",NULL,"0","0","10207501925518729","481008992083404","1022105604535423"
"707284719872909000","707284719872909000","monsergioo","@Curitiba_PMC CHOVE MUITO AQUI NO CENTRO DA CAPITAL https://t.co/XrYT1qWFvD","0","[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","[[[-49.27215574300388, -25.43202721781874], [-49.27215574300388, -25.43202721781874], [-49.27215574300388, -25.43202721781874], [-49.27215574300388, -25.43202721781874]]]","-25.4320272178,-49.272155743","Galeria Ritz","Terra,Sistema Solar,Via Lactea","477","948","2016-03-08 19:19:52","twitter_curitiba","4","0","2","2",NULL,"0","0","10207501925518729","1333261746689944","951289924984798"
"707286572232737000","707286572232737000","monsergioo","@Curitiba_PMC MUITA CHUVA E VENTO FORTE NO CENTRO DA CIDADE https://t.co/gekIhvjQqA","0","[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","[[[-49.27089750766754, -25.432927108627652], [-49.27089750766754, -25.432927108627652], [-49.27089750766754, -25.432927108627652], [-49.27089750766754, -25.432927108627652]]]","-25.4329271086,-49.2708975077","Caixa Econômica Federal","Terra,Sistema Solar,Via Lactea","477","948","2016-03-08 19:27:14","twitter_curitiba","3","0","1","2",NULL,"0","0","10207501925518729","1022105604535423",
"707287287575478000","707287287575478000","CamaraCuritiba","#CMC aprova autorização p/ @Curitiba_PMC emprestar R$ 96 milhões da Caixa, R$ 26 milhões p/ CMEIs. https://t.co/NnXzaugIvy","0","[{u'indices': [0, 4], u'text': u'CMC'}]","[{u'id': 68693419, u'indices': [27, 40], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]",NULL,NULL,NULL,"Curitiba - Paraná","7410","97","2016-03-08 19:30:04","twitter_curitiba","3","0","1","2",NULL,"0","0","10207501925518729","1054803564576568","951289924984798"
