"IdComment","IdStr","UserName","Message","MessageTranslation","Retweets","Hashtags","Mentions","TweetBoundingBox","TweetCoordinates","TweetPlaceName","UserLocation","UserFollowers","UserFriends","CreatedAt","Source","Votes","Positive","Negative","Neutral","Reason","VeryPositive","VeryNegative","evaluator1","evaluator2","evaluator3","OpinionLexicon","Afinn","SentiStrength","SoCal","Umigon","Vader","SenticNet","Brazilian_LIWC","Brazilian_OpLexicon","Brazilian_SentiLex","Truth","Prediction"
"707218810365825000","707218810365825000","EdilsonZanardo","CONCURSO PÚBLICO PREFEITURA DE CURITIBA - PR https://t.co/FGT1j9vkFa",,"0","[]","[]","NULL","NULL","NULL","Curitiba","121","434","2016-03-08 14:57:58","twitter_curitiba","5","2","0","3","NULL","0","0","1022105604535423","10207501925518729","916609715103449",0,1,1,1,0,0,0.023667,0,0,0,1,
"707229383312933000","707229383312933000","_francielr","Hoje dava pra sentir a aura de felicidade no ar da ufpa. Era calouro pra tudo que era lado",,"0","[]","[]","NULL","NULL","NULL","NULL","72","74","2016-03-08 15:39:59","twitter_ufpa","3","2","0","0","NULL","1","0","10207501925518729","481008992083404","1333261746689944",1,1,1,0,0,1,0.058444,1,0,1,1,
"707280737138025000","707280737138025000","lerncarey","gente o Twitter da prefeitura de Curitiba um dos melhores",,"1","[]","[]","NULL","NULL","NULL","11.10.2014","972","727","2016-03-08 19:04:03","twitter_curitiba","3","3","0","0","NULL","0","0","942667965849460","805075212894032","251044251911114",1,1,1,0,1,1,0.027333,1,0,0,1,
"707283585745723000","707283585745723000","pitacoseachados","Como é bom estar em casa. @Curitiba_PMC https://t.co/bCPXbggZLO",,"0","[]","[{u'id': 68693419, u'indices': [26, 39], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]","-25.4952494,-49.28846045","Curitiba, Brazil","Curitiba, Paraná","772","749","2016-03-08 19:15:22","twitter_curitiba","3","3","0","0","NULL","0","0","805075212894032","251044251911114","942667965849460",1,1,1,1,1,1,0.0883,1,1,1,1,
"707294021505442000","707294021505442000","manoloramires","Prefeitura de Curitiba imitando Beto Richa. https://t.co/XANOsNMOrL",,"0","[]","[]","NULL","NULL","NULL","Curitiba, Brasil","178","321","2016-03-08 19:56:50","twitter_curitiba","10","2","2","6","NULL","0","0","1333261746689944","1022105604535423",,0,0,0,0,0,0,0.0054,0,0,-1,1,
"707317838126653000","707317838126653000","_thayseazevedo","boa tarde só pra quem ta de ferias da ufpa, tipo eu.",,"0","[]","[]","NULL","NULL","NULL","Ananindeua, Pará","540","287","2016-03-08 21:31:28","twitter_ufpa","4","2","0","1","NULL","1","0","10207501925518729","951289924984798","1198194900225799",1,1,1,1,1,1,0.1591,-1,0,1,1,
"707520353795514000","707520353795514000","g1para","UFPA inscreve para o programa 'Universidade da Terceira Idade' https://t.co/BGkSFeybZL",,"3","[]","[]","NULL","NULL","NULL","NULL","44787","0","2016-03-09 10:56:12","twitter_ufpa","3","2","0","1","NULL","0","0","10207501925518729","481008992083404","1333261746689944",0,0,0,0,0,0,0.006,0,0,0,1,
"707565894944297000","707565894944297000","cesovski","prefeitura de curitiba: graças a deus morreu o hype",,"0","[]","[]","NULL","NULL","NULL","Porto Alegre - Brasil","234","226","2016-03-09 13:57:09","twitter_curitiba","5","2","3","0","NULL","0","0","1022105604535423","10207501925518729","481008992083404",-1,0,1,-1,-1,1,0.063,1,0,0,1,
"707586099644928000","707586099644928000","ParanaOnline","Prefeitura de Curitiba faz coleta de lixo eletrônico na sexta e no sábado https://t.co/QDt9JsCoH7 https://t.co/YEF6BUAyh4",,"0","[]","[]","NULL","NULL","NULL","Curitiba, PR, Brasil","4372","174","2016-03-09 15:17:27","twitter_curitiba","4","2","0","2","NULL","0","0","10207501925518729","481008992083404","1022105604535423",-1,-1,-1,-1,0,-1,0.046095,0,0,-1,1,
"707629938090906000","707629938090906000","raquagirl","@beadelusional mas agora nortista tem bônus de 10% na ufpa",,"0","[]","[{u'id': 2772775570, u'indices': [0, 14], u'id_str': u'2772775570', u'screen_name': u'beadelusional', u'name': u'Beaw'}]","NULL","NULL","NULL","Metropolis","617","377","2016-03-09 18:11:39","twitter_ufpa","3","3","0","0","NULL","0","0","805075212894032","251044251911114","942667965849460",1,0,0,1,0,1,0.043667,0,0,0,1,
