"IdComment","IdStr","UserName","Message","MessageTranslation","Retweets","Hashtags","Mentions","TweetBoundingBox","TweetCoordinates","TweetPlaceName","UserLocation","UserFollowers","UserFriends","CreatedAt","Source","Votes","Positive","Negative","Neutral","Reason","VeryPositive","VeryNegative","evaluator1","evaluator2","evaluator3","OpinionLexicon","Afinn","SentiStrength","SoCal","Umigon","Vader","SenticNet","Brazilian_LIWC","Brazilian_OpLexicon","Brazilian_SentiLex","Truth","Prediction"
712095353772834944,712095353772834944,"stonobis","@Curitiba_PMC mais de mês e a música da caçamba nao toca na minha rua. Giro o dial? Ou espero 11 meses e faço uma festinha de aniversario?","@Curitiba_PMC more than a month, and the music of the bucket is not touching on my street. Turning the dial? Or I wait 11 months and I do a party on the anniversary?",0,"[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","NULL","NULL","NULL","NULL",23,166,"2016-03-22 01:55:37","twitter_curitiba",3,0,1,0,"NULL",0,2,,,,0,0,0,0,-1,1,0.036852,1,1,0,-1,
708088639427911936,708088639427911936,"Majejel","@Curitiba_PMC no Rebouças também seria ótimo pq não aguento mais usuário de droga me pedindo dinheiro","@Curitiba_PMC in Rebouças would also be great cuz I can not stand drug user asking me for money",0,"[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","NULL","NULL","NULL","Curitiba",309,82,"2016-03-11 00:34:21","twitter_curitiba",1,0,1,0,"NULL",0,0,1022105604535420,,,1,1,1,0,1,1,0.053,-1,0,-1,-1,
711881050901848064,711881050901848064,"rclube","Concursados realizam protesto em frente à prefeitura de Belém https://t.co/XdFY0Y4t2I","Applied hold protest in front of the city hall of Bethlehem https://t.co/XdFY0Y4t2I",2,"[]","[]","NULL","NULL","NULL","Pará",52740,61,"2016-03-21 11:44:03","twitter_belem",4,0,0,1,"NULL",1,2,,,,-1,-1,-1,0,0,-1,-0.0075,0,0,-1,-1,
708295237341412992,708295237341412992,"DemiIssWarrior_","QUE CU, NÃO TÔ CONSEGUINDO LIGAR PRA UFPA","THAT ASS, I'M NOT ABLE TO CONNECT TO UFPA",0,"[]","[]","NULL","NULL","NULL","NULL",1517,822,"2016-03-11 14:15:18","twitter_ufpa",3,0,3,0,"NULL",0,0,10207501925518728,1022105604535423,481008992083404,0,0,0,-1,-1,-1,0.008125,-1,1,0,-1,
708370414167319040,708370414167319040,"maryaguiardn","Hj de tarde eu tinha um teste de aptidao na ufpa p aprender a tocar piano. De manha eu consegui queimar todos os meus dedos num prato quente","Hj in the afternoon I had a test of fitness in the ufpa p learn to play the piano. In the morning I managed to burn all my fingers on a hot plate",0,"[]","[]","NULL","NULL","NULL","Belém - Pará - Brasil",338,259,"2016-03-11 19:14:02","twitter_ufpa",3,0,2,1,"NULL",0,0,10207501925518728,1022105604535423,1054803564576568,0,1,-1,1,-1,1,0.028966,1,-1,-1,-1,
707354232568070016,707354232568070016,"GuilhermeBarba","Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba. https://t.co/DPnAPJkJKA","The leaders of the CIC criticize abandonment and lack of investment in the city of Curitiba. https://t.co/DPnAPJkJKA",0,"[]","[]","NULL","NULL","NULL","Curitiba",284,181,"2016-03-08 23:56:05","twitter_curitiba",4,1,2,1,"NULL",0,0,,,,-1,-1,-1,-1,-1,-1,-0.014842,-1,-1,-1,-1,
712708794833362944,712708794833362944,"_NettoCWB","@ellentwiss @BlogOlhoNaMira @blogdojota @Boca_Maldita @fabiocampana @gazetadopovo @Curitiba_PMC @gustavofruet POMBOS dentro da rodoviária.","@ellentwiss @BlogOlhoNaMira @blogdojota @Boca_Maldita @fabiocampana @gazetadopovo @Curitiba_PMC @gustavofruet PIGEONS inside the bus.",0,"[]","[{u'id': 74966011, u'indices': [0, 11], u'id_str': u'74966011', u'screen_name': u'ellentwiss', u'name': u'InfoCanalBRxae'}, {u'id': 154336315, u'indices': [12, 27], u'id_str': u'154336315', u'screen_name': u'BlogOlhoNaMira', u'name': u'Blog Olho na Mira'}, {u'id': 119731647, u'indices': [28, 39], u'id_str': u'119731647', u'screen_name': u'blogdojota', u'name': u'Jota Agostinho'}, {u'id': 61868251, u'indices': [40, 53], u'id_str': u'61868251', u'screen_name': u'Boca_Maldita', u'name': u'Boca Maldita'}, {u'id': 34208373, u'indices': [54, 67], u'id_str': u'34208373', u'screen_name': u'fabiocampana', u'name': u'Fxe1bio Campana'}, {u'id': 15084884, u'indices': [68, 81], u'id_str': u'15084884', u'screen_name': u'gazetadopovo', u'name': u'Gazeta do Povo'}, {u'id': 68693419, u'indices': [82, 95], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}, {u'id': 33642328, u'indices': [96, 109], u'id_str': u'33642328', u'screen_name': u'gustavofruet', u'name': u'Gustavo Fruet'}]","NULL","NULL","NULL","Curitiba.",517,438,"2016-03-23 18:33:12","twitter_curitiba",3,0,2,1,"NULL",0,0,10207501925518728,1149345581743917,870576423064299,0,0,0,0,0,0,0.008,0,0,0,-1,
713658766416343040,713658766416343040,"jefferson_jsb","As cidades onde é mais rápido abrir uma empresa no Brasil -  https://t.co/SvFmHFzdks via @exame Precisa ser melhor @prefeiturabelem !","The cities where it is faster to open a company in Brazil - https://t.co/SvFmHFzdks via @examination Needs to be better @prefeiturabelem !",0,"[]","[{u'id': 30070288, u'indices': [89, 95], u'id_str': u'30070288', u'screen_name': u'exame', u'name': u'Exame'}, {u'id': 1934139290, u'indices': [115, 131], u'id_str': u'1934139290', u'screen_name': u'prefeiturabelem', u'name': u'Prefeitura de Belxe9m'}]","NULL","NULL","NULL","Belém, PA, Brasil",484,782,"2016-03-26 09:28:03","twitter_belem",4,1,2,1,"NULL",0,0,,,,1,1,1,0,1,1,0.0162,1,1,1,-1,
710255247281820032,710255247281820032,"raiannypiress","Do jeito que o Brasil está, o jeito e quebrar tudo mesmo. Vamos começar quebrando a prefeitura de Belém #queremosoBRT","The way Brazil is, the way and break all the same. Let's start breaking down the city of Bethlehem queremosoBRT",0,"[{u'indices': [104, 117], u'text': u'queremosoBRT'}]","[]","NULL","NULL","NULL","NULL",15,42,"2016-03-17 00:03:41","twitter_belem",5,1,2,0,"NULL",0,2,,,,-1,0,0,-1,0,0,0.002,0,0,-1,-1,
713182099902173056,713182099902173056,"felipesanches09","@Curitiba_PMC nunca vi uma cidade para ter asfalto ruim!! Acaba com nossos carros!!!","@Curitiba_PMC never seen a city to have poor asphalt!! Just with our cars!!!",0,"[]","[{u'id': 68693419, u'indices': [0, 13], u'id_str': u'68693419', u'screen_name': u'Curitiba_PMC', u'name': u'Prefeitura Curitiba'}]","NULL","NULL","NULL","Curitiba, Paraná",42,206,"2016-03-25 01:53:57","twitter_curitiba",3,0,2,1,"NULL",0,0,10207501925518728,1054803564576568,1333261746689944,-1,-1,-1,-1,0,-1,0.011846,-1,0,-1,-1,
